 등록번호,상호,업종,주소,메뉴,영업시간,주차정보,제안수,댓글수
1151,모란추어탕,한식,전라남도 강진군 강진읍 탑동길 5,추어탕,,,,
1152,석문정,한식,전라남도 강진군 도암면 백도로 2059-7,회춘탕,,,,
1153,거북횟집,한식,전라남도 강진군 마량면 미항로 139-1,"전어구이, 매운탕",,,,
1154,청자골회타운,한식,전라남도 강진군 마량면 미항로 173-1,생선회,,,,
1155,수인관,한식,전라남도 강진군 병영면 병영성로 107-10,돼지불고기백반,,,,1
1156,관산식당,한식,전라남도 고흥군 고흥읍 고흥로 1896,냉면,,,,
1157,한솔회마트,한식,전라남도 고흥군 고흥읍 서문여산길 50,생선회,,,,
1158,삼이야식,한식,전라남도 고흥군 고흥읍 학교길 70,닭볶음탕,,,,
1159,동방기사식당,한식,전라남도 고흥군 과역면 고흥로 2921,삼겹살백반,,,,
1160,송학산장,한식,전라남도 고흥군 과역면 과역로 890-16,국밥,,,,
1161,득량식당,한식,전라남도 고흥군 도양읍 목넘가는길 20,장어탕,,,,
1162,해변식당,한식,전라남도 고흥군 도양읍 비봉로 159,백반,,,,
1163,mkr coffee,카페,전라남도 고흥군 도양읍 비봉로 177,커피,,,,
1164,다정통닭,한식,전라남도 고흥군 두원면 고흥로 2805-23,백숙,,,,
1165,고센,한식,전라남도 고흥군 포두면 우주로 835,보리밥,,,,
1166,오가네붕어찜,한식,전라남도 곡성군 곡성읍 곡성로 782,민물매운탕,,,,
1167,청이돈가스,일식,전라남도 곡성군 곡성읍 곡성로 852,돈까스,,,,
1168,곡성한일순대국밥,한식,전라남도 곡성군 곡성읍 읍내리 218,순대국밥,,,,
1169,순수한우명품관,한식,전라남도 곡성군 곡성읍 곡성로 856,갈비탕,,,,
1170,큰손탕집,한식,전라남도 곡성군 곡성읍 읍내17길 11,김치찌개,,,,
1171,고향숯불갈비,한식,전라남도 곡성군 곡성읍 학교로 155,돼지갈비,,,,
