 등록번호,상호,업종,주소,메뉴,영업시간,주차정보,제안수,댓글수
1,원조닭한마리,한식,서울특별시 강남구 논현로10길 13,닭한마리,,,,
2,논현 손칼국수,한식,서울특별시 강남구 논현로111길 16,칼국수,,,,
3,대치동함흥면옥,한식,서울특별시 강남구 도곡로 424,"비빔냉면, 물냉면",,,,
4,문가네 고추장추어탕,한식,서울특별시 강남구 밤고개로 231,추어탕,,,,
5,가나돈까스의집,일식,서울특별시 강남구 언주로 608,돈까스,,,,
6,착한낙지,한식,서울특별시 강동구 동남로 592,"낙지전골, 낙지덮밥",,,,
7,등나무집,한식,서울특별시 강동구 가래여울길 20-3,매운탕,,,,
8,엄마손만두,한식,서울특별시 강동구 올림픽로 683,만두국,,,,
9,최냉면,한식,서울특별시 강동구 천호옛8길 34,산오징어물회냉면,,,,
10,별미손칼국수,한식,서울특별시 강동구 풍성로 160,칼국수,,,,
11,동구밖장작구이,한식,서울특별시 강동구 풍성로 309,오리구이,,,,
12,수향보쌈칼국수,한식,서울특별시 강동구 풍성로37가길 5,보쌈,,,,
13,메기한마당,한식,서울특별시 강북구 4.19로 36,메기매운탕,,,,
14,발산삼계탕,한식,서울특별시 강서구 강서로 344,삼계탕,,,,
15,오복순대국,한식,서울특별시 강서구 공항대로45길 5,순대국,,,,
16,화곡영양족발,한식,서울특별시 강서구 초록마을로2길 48,"족발, 보쌈",,,,
17,가막골흑염소,한식,서울특별시 강서구 화곡로56길 37-11,"흑염소, 보신탕, 전골",,,,
18,등촌 최월선칼국수,한식,서울특별시 강서구 화곡로64길 68,버섯매운탕 칼국수,,,,
19,시골집,한식,서울특별시 관악구 낙성대로 22-7,제육쌈밥,,,,
20,정담은보쌈,한식,서울특별시 관악구 남부순환로 1661,보쌈,,,,
21,갯바위,한식,서울특별시 관악구 남부순환로216길 13,매운탕,,,,
22,장수집,한식,서울특별시 관악구 봉천로 486,"삼계탕, 보신탕",,,,
23,김영자나주곰탕,한식,서울특별시 관악구 신림로28길 30,곰탕,,,,
24,전주식당,한식,서울특별시 관악구 신림로66길 20,백반,,,,
25,신림순대국,한식,서울특별시 관악구 조원로4길 8,순대국,,,,
26,해태식당,한식,서울특별시 관악구 청룡1길 33,연포탕,,,,
27,진한방삼계탕,한식,서울특별시 광진구 능동로 254,"한방삼계탕, 닭볶음탕",,,,
28,군자족보,한식,서울특별시 광진구 능동로37길 10-3,백반,,,,
29,우리맛금일푸른바다,한식,서울특별시 광진구 능동로37길 14,바다장어구이,,,,
30,엄탕,한식,서울특별시 광진구 아차산로51길 66,매운양푼갈비찜,,,,
31,광장동가온 ,한식,서울특별시 광진구 아차산로78길 75,"곰국시, 떡만두국",,,,
32,아울,일식,서울특별시 광진구 자양로18길 36,수제돈까스,,,,
33,민물공원,한식,서울특별시 구로구 개봉로15길 23,민물매운탕,,,,
34,이천성모메존칼국수,한식,서울특별시 구로구 경인로 18,칼국수,,,,
35,이실이네,한식,서울특별시 구로구 공원로6나길 29-21,매운탕,,,,
36,초가삼계탕,일식,서울특별시 금천구 시흥대로38길 43,들깨삼계탕,,,,
37,석천숯불갈비,한식,서울특별시 노원구 동일로 1001,이동갈비,,,,
38,닭한마리 공릉본점,한식,서울특별시 노원구 동일로 1020,닭한마리,,,,
39,매일복집,한식,서울특별시 노원구 동일로176길 42,복요리,,,,
40,최가네손두부,한식,서울특별시 노원구 동일로242길 21,두부요리,,,,
41,엄마손칼국수,한식,서울특별시 노원구 상계로39길 5,칼국수,,,,
42,하누소,한식,서울특별시 도봉구 노해로 327,"생갈비, 한정식",,,,
43,동적불고기,한식,서울특별시 도봉구 도봉로109길 30,양념소갈비살,,,,
44,햇빛칼국수,한식,서울특별시 도봉구 방학로 168,칼국수,,,,
45,하노이빈,퓨전,서울특별시 도봉구 방학로 252-41,쌀국수,,,,
46,풍년식당,한식,서울특별시 동대문구 답십리로50길 6,"한방약오리, 오리전골",,,,
47,감초식당,한식,서울특별시 동대문구 약령서길 28,돼지불갈비정식,,,,
48,산천가든,한식,서울특별시 동대문구 왕산로32길 96,한정식돌솥밥,,,,
49,용두동 복집,한식,서울특별시 동대문구 왕산로16길 9,복,,,,
50,어촌식당,한식,서울특별시 동작구 상도로 122,생선구이정식,,,,
51,서일순대국,한식,서울특별시 동작구 여의대방로22길 20,순대국,,,,
52,영광굴비정식,한식,서울특별시 마포구 대흥로 43,영광굴비구이,,,,
53,마포양지설렁탕,한식,서울특별시 마포구 새창로 6,설렁탕,,,,
54,을밀대평양냉면,한식,서울특별시 마포구 숭문길 24,평양냉면,,,,
55,감나무집기사식당 ,한식,서울특별시 마포구 연남로 25,돼지불백,,,,
56,성미골,한식,서울특별시 마포구 월드컵로 137,이베리코흑돼지 모듬A,,,,
57,만나식당,한식,서울특별시 마포구 월드컵로 142,이북식손왕만두,,,,
58,의정부부대찌개,한식,서울특별시 마포구 월드컵로10길 36,부대찌개,,,,
59,마포옥,한식,서울특별시 마포구 토정로 312,한우양지설렁탕,,,,
60,소담한정식,한식,서울특별시 서대문구 경기대로9길 6,한정식,,,,
61,모래내설렁탕,한식,서울특별시 서대문구 모래내로 271,설렁탕,,,,
62,연희동칼국수,한식,서울특별시 서대문구 연희맛로 37,칼국수 ,,,,
63,청송면옥,한식,서울특별시 서대문구 연희맛로 6,냉면,,,,
64,민스키친,한식,서울특별시 서대문구 연희맛로 7,꼬막비빕밥,,,,
65,홍은손칼국수전문점,한식,서울특별시 서대문구 홍은중앙로 27,칼국수,,,,
66,임병주산동칼국수,한식,서울특별시 서초구 강남대로37길 65,칼국수,,,,
67,진주청국장딜리버리,한식,서울특별시 서초구 효령로31길 14,청국장,,,,
68,메기대감,한식,서울특별시 서초구 남부순환로350길 30,"메기매운탕, 메기불고기",,,,
69,영동족발,한식,서울특별시 서초구 남부순환로2628-18,족발,,,,
70,대머리식당,한식,서울특별시 성북구 돌곶이로 162,오징어볶음,,,,
71,서울갈매기,한식,서울특별시 성북구 보문로 100,갈매기살,,,,
72,반월유황오리해물아구찜탕,한식,서울특별시 성북구 보문로30길 36,유황오리로스,,,,
73,손가네설렁탕,한식,서울특별시 성북구 성북로15길 8,설렁탕,,,,
74,명문막국수,한식,서울특별시 성북구 창경궁로 317,명태식혜막국수,,,,
75,함경도찹쌀순대,한식,서울특별시 송파구 송파대로28길 32,순대국,,,,
76,부부횟집,한식,서울특별시 송파구 오금로18길4,물회,,,,
77,천상애장어家,한식,서울특별시 송파구 중대로 174,소금구이,,,,
78,대가,한식,서울특별시 양천구 신정중앙로 66,소갈비,,,,
79,살구나무집칼국수,한식,서울특별시 양천구 중앙로32길 35,"칼국수, 수제비",,,,
80,영등포불닭,한식,서울특별시 영등포구 당산로32길 8-4,국물닭발,,,,
81,대관원,중식,서울특별시 영등포구 당산로37길 1,간짜장,,,,
82,영일분식,한식,서울특별시 영등포구 도림로141가길 34-1,"칼비빔국수, 만두",,,,
83,원조호수삼계탕,한식,서울특별시 영등포구 도림로 274-1,삼계탕,,,,
84,남평식당,한식,서울특별시 영등포구 버드나루로7길 7,곰탕,,,,
85,양평옥,한식,서울특별시 영등포구 선유로47길 8-2,꼬리곰탕,,,,
86,큰바다횟집,한식,서울특별시 영등포구 영등포로18길 6,모듬회,,,,
87,대한옥,한식,서울특별시 영등포구 영등포로51길 6,설렁탕,,,,
88,문배동육칼,한식,서울특별시 용산구 백범로90길 50,육칼육개장+칼국수,,,,
89,단박왕돈까스,일식,서울특별시 용산구 백범로90길 74,돈까스,,,,
90,바다식당,퓨전,서울특별시 용산구 이태원로 245,존슨탕,,,,
91,양평매운탕,한식,서울특별시 용산구 청파로 329,빠가사리매운탕,,,,
92,자원대구탕,한식,서울특별시 용산구 한강대로62가길 6,대구탕,,,,
93,칡산에황제보쌈,한식,서울특별시 은평구 은평로 189,곤드레정식,,,,
94,토박이부대찌개,한식,서울특별시 은평구 은평로21길 35,부대찌개,,,,
95,봉희설렁탕,한식,서울특별시 은평구 증산로 413,곰탕,,,,
96,역촌왕돈까스,일식,서울특별시 은평구 진흥로 121-1,돈까스,,,,
97,넷길이콩나물국밥,한식,서울특별시 은평구 진흥로 139,콩나물국밥,,,,
98,불광동황소곱창구이,한식,서울특별시 은평구 진흥로 141,곱창구이,,,,
99,두소설렁탕,한식,서울특별시 종로구 비봉길 26,설렁탕,,,,
100,대성집,한식,서울특별시 종로구 사직로 5,"도가니탕, 해장국",,,,
101,이문설농탕,한식,서울특별시 종로구 우정국로 38-13,설농탕,,,,
102,호박식당,한식,서울특별시 중구 다산로 154,"백반, 와규",,,,
103,동강나루터,한식,서울특별시 중구 삼일대로12길 13,민물매운탕,,,,
104,이남장,한식,서울특별시 중구 삼일대로12길 16,설렁탕,,,,
105,을지로호반집,한식,서울특별시 중구 을지로20길 10-13,닭곰탕,,,,
106,할매복집,한식,서울특별시 중랑구 공릉로 82,복요리,,,,
107,망우찜쌈밥,한식,서울특별시 중랑구 용마공원로2길 8,쌈밥,,,,
108,먹고을전주콩나물국밥,한식,서울특별시 중랑구 중랑역로 268,국밥,,,,
109,두메막국수,한식,경기도 가평군 가평읍 가화로 328,막국수,,,,
110,두물머리,한식,경기도 가평군 가평읍 달전로3,육개장,,,,
111,돼지주물럭기사식당,한식,경기도 가평군 가평읍 보납로 34,돼지주물럭,,,,
112,양태봉촌두부  ,한식,경기도 가평군 가평읍 태봉안길 54,"두부전골, 모두부",,,,
113,느티나무식당,한식,경기도 가평군 설악면 음방아랫말길1,손두부전골 ,,,,
114,상천리 봉녀수제비,한식,경기도 가평군 청평면 경춘로 1462,수제비,,,,
115,밤나무집,한식,경기도 가평군 청평면 청평중앙로26번길 7,"쌈밥정식, 애곤이탕 ",,,,
116,서삼릉보리밥,한식,경기도 고양시 덕양구 서삼릉길 124,산채보리밥,,,,
117,솔향기산채보리밥,한식,경기도 고양시 덕양구 수역이길 7,쭈꾸미볶음,,,,
118,주막보리밥,한식,경기도 고양시 덕양구 용두로47번길 133,보리밥,,,,
119,수원까비네손칼국수원당직영점,한식,경기도 고양시 덕양구 원당로33번길 26,칼국수,,,,
120,벵게식당,한식,경기도 고양시 덕양구 원당로33번길 42-9,미꾸라지털네기,,,,
121,종가집오리돌구이,한식,경기도 고양시 덕양구 유산길17번길 113,오리로스,,,,
122,일산칼국수,한식,경기도 고양시 일산동구 경의로 467,바지락칼국수,,,,
123,털랭이매운탕,한식,경기도 고양시 일산동구 동국로 116,매운탕,,,,
124,재이식당,퓨전,경기도 고양시 일산동구 일산로380번길 53,쌀국수,,,,
125,양수면옥,한식,경기도 고양시 일산동구 애니골길 34,소고기,,,,
126,미덕원,한식,경기도 고양시 일산동구 애니골길43번길 17-1,백숙,,,,
127,평양손만두,한식,경기도 고양시 일산서구 구산로54번길 241,찐만두,,,,
128,덕이동주막,한식,경기도 고양시 일산서구 하이파크3로 10,보리밥,,,,
129,가학골두루치기,한식,경기도 광명시 가학로95번길 1,김치두루치기,,,,
130,원조광명할머니빈대떡,한식,경기도 광명시 광이로13번길 21-5,빈대떡,,,,
131,남해바다장어민물참숯불구이,한식,경기도 광명시 밤일로 18,전복장어탕,,,,
132,생고기두루치기전문점,한식,경기도 광명시 영우로 16,두루치기,,,,
133,장지리막국수,한식,경기도 광주시 고불로 7,막국수,,,,
134,곤지곤지대구탕,한식,경기도 광주시 곤지암읍 경충대로 571,대구탕,,,,
135,낙선재,한식,경기도 광주시 남한산성면 불당길 101,토종닭볶음탕,,,,
136,왕대박참숯마루,한식,경기도 광주시 오포읍 새말길 147-3,돼지불고기정식,,,,
137,고향생각,한식,경기도 광주시 오포읍 새말길 15,"고등어, 갈치조림",,,,
138,들밥,한식,경기도 광주시 오포읍 양벌로 131-20,보리밥,,,,
139,다미정,한식,경기도 광주시 초월읍 설월길 29,냉면,,,,
140,명문옻닭,한식,경기도 광주시 퇴촌면 천진암로 423,옻닭뚝배기,,,,
141,강남정육점식당,한식,경기도 광주시 중앙로187번길 35,소고기,,,,
142,밀목손만두얼큰칼국수,한식,경기도 광주시 회안대로 949,만두전골,,,,
143,본추어탕,한식,경기도 구리시 갈매길 153-13,추어탕,,,,
144,옹기종기동태탕,한식,경기도 구리시 경춘로 242번길 31-13,"동태탕, 명태회무침 ",,,,
145,골목안채,한식,경기도 남양주시 다산중앙로82번안길 131-32,낙지볶음,,,,
146,군포식당,한식,경기도 군포시 군포로 556번길 6,설렁탕,,,,
147,소양간,한식,경기도 김포시 고촌읍 태리로 69,우거지해장국,,,,
148,명원,중식,경기도 김포시 봉화로 9,탕수육,,,,
149,강부자집,한식,경기도 김포시 운곡로 17-23,갈비탕,,,,
150,우리땅갈비,한식,경기도 김포시 운곡로 3,돼지갈비,,,,
151,하성곰탕집,한식,경기도 김포시 하성면 애기봉로 806번길 49,곰탕,,,,
152,우리집토종닭,한식,경기도 김포시 하성면 하성로 576,닭백숙,,,,
153,종가옥,한식,경기도 남양주시 강변북로 662,곰탕,,,,
154,성미아구찜,한식,경기도 남양주시 금곡로 23,아구찜,,,,
155,대창옥,한식,경기도 남양주시 일패로 14,부대찌개,,,,
156,옛날에손만두,한식,경기도 남양주시 진건읍 사릉로 136번길 16,손만두국,,,,
157,사능우리식당,한식,경기도 남양주시 진건읍 사릉로 283,소머리국밥,,,,
158,고모네콩탕,한식,경기도 남양주시 진건읍 송능리 398,황태두부전골,,,,
159,평남초계탕막국수,한식,경기도 동두천시 삼육사로 1049,초계탕,,,,
160,원조다래솥뚜껑,한식,경기도 동두천시 삼육사로 980,베이컨구이,,,,
161,평남면옥,한식,경기도 동두천시 생연로 127,냉면,,,,
162,호수식당,한식,경기도 동두천시 중앙로 312,부대찌개,,,,
163,송월관,한식,경기도 동두천시 큰시장로 28-10,"떡갈비, 갈비탕",,,,
164,손사부,중식,경기도 부천시 경인로 180,삼선백짬뽕,,,,
165,대박닭한마리칼국수,한식,경기도 부천시 부일로 711,닭칼국수,,,,
166,조선옥설렁탕,한식,경기도 부천시 경인로 33,"곰탕,설렁탕",,,,
167,진달래카페,한식,경기도 부천시 소사로 482,돈까스,,,,
168,크라이치즈버거,퓨전,경기도 부천시 신흥로 52번길 35,수제햄버거,,,,
169,참사랑화로구이,한식,경기도 부천시 심곡로 54,"육류, 뒷고기",,,,
170,청정칼국수수제비전문점,한식,경기도 부천시 상일로145번길 42,들깨수제비,,,,
171,쭈꾸미구이용궁별미,한식,경기도 부천시 신흥로 238번길 22,"양념쭈꾸미구이, 매생이수제비",,,,
172,도래샘,한식,경기도 부천시 원미로 166,청국장,,,,
173,시골통돼지볶음찌개전문점,한식,경기도 부천시 원미로31번길 21,통돼지볶음찌개,,,,
174,회사랑방,일식,경기도 성남시 분당구 돌마로 486번길 12,"회덮밥, 막회",,,,
175,청계산수타짬뽕,중식,경기도 성남시 분당구 판교공원로5길 22,짬뽕,,,,
176,만강장어,한식,경기도 성남시 분당구 장미로92번길 7-5,장어탕,,,,
177,채운,한식,경기도 성남시 분당구 하오개로 344번길 1,생선구이,,,,
178,인사동,한식,경기도 성남시 분당구 황새울로 200번길 26,닭볶음탕,,,,
179,남추어탕,한식,경기도 성남시 수정구 심곡로 1,추어탕,,,,
180,한소반쭈꾸미,한식,경기도 성남시 수정구 청계산로 589-1,쭈꾸미,,,,
181,충남정육식당,한식,경기도 성남시 수정구 탄리로96번길 22-2,"제육볶음, 김치찌개",,,,
182,옻닭집,한식,경기도 수원시 권선구 정조로 423,옻닭,,,,
183,해물천지,한식,경기도 수원시 팔달구 행궁로22번길 17,조개전골,,,,
184,남해생선구이,한식,경기도 수원시 영통구 동수원로537번길 7,생선구이 ,,,,
185,군포해물탕 ,한식,경기도 수원시 영통구 동수원로513번길 11,해물탕 ,,,,
186,온수골이호낙지본점,한식,경기도 수원시 영통구 매탄로79번길 8,해물조개전골,,,,
187,도봉산갈비,한식,경기도 수원시 영통구 매탄로100번길 7-6,돼지갈비,,,,
188,해물궁,한식,경기도 수원시 장안구 덕영대로511번길 29-22,아구찜,,,,
189,국수부자 ,한식,경기도 수원시 장안구 경수대로976번길 41,"잔치국수, 비빔국수",,,,
190,백청우칼국수 조원점,한식,경기도 수원시 장안구 금당로 1,해물국수전골,,,,
191,화홍추어탕,한식,경기도 수원시 장안구 송원로41번길 9,추어탕 ,,,,
192,까삐네칼국수,한식,경기도 수원시 장안구 송정로 161,칼국수,,,,
193,그집쭈꾸미볶음 ,한식,경기도 수원시 장안구 만석로 183,"쭈꾸미볶음, 해물파전",,,,
194,신사강정육식당,한식,경기도 수원시 장안구 정조로1088번길 11,"쇠고기, 돼지고기구이",,,,
195,풍어생선구이정식,한식,경기도 수원시 장안구 천천로210번길 17-12,생선구이,,,,
196,콩마당 ,한식,경기도 수원시 장안구 파장천로 92,콩마당정식 ,,,,
197,보영만두,한식,경기도 수원시 장안구 팔달로 271,"만두, 쫄면",,,,
198,인계수제비,한식,경기도 수원시 팔달구 권광로196번길 17-9,얼큰수제비,,,,
199,마초,일식,경기도 수원시 팔달구 권광로196번길 51,모듬초밥,,,,
200,스시한판수원점,일식,경기도 수원시 팔달구 덕영대로 913-1,초밥,,,,
201,아다미,한식,경기도 수원시 팔달구 매산로 1-8,순댓국,,,,
202,석산민물매운탕,한식,경기도 수원시 팔달구 세지로 198번길 41,"매운탕, 오징어볶음",,,,
203,남도한정식황복촌,한식,경기도 수원시 팔달구 효원로265번길 41,한정식,,,,
204,도프셰프,양식,경기도 수원시 팔달구 인계로166번길 48-17 BLS플라자 302호,단호박 파스타,,,,
205,가보정,한식,경기도 수원시 팔달구 장다리로 282,생갈비,,,,
206,조선삼계탕,한식,경기도 수원시 팔달구 인계로 166번길 48-21,삼계탕,,,,
207,백청우칼국수본점,한식,경기도 수원시 팔달구 장다리로 253,해물칼국수,,,,
208,대왕칼국수,한식,경기도 수원시 팔달구 창룡대로7번길 11,칼국수 ,,,,
209,고등반점,중식,경기도 수원시 팔달구 팔달로52번길 43,"짜장면, 탕수육 ",,,,
210,두꺼비집,한식,경기도 수원시 팔달구 향교로 100,부대찌개,,,,
211,매온당,한식,경기도 수원시 팔달구 효원로307번길 47,곰탕,,,,
212,영천식당,한식,경기도 수원시 팔달구 효원로291번길 35,육회비빔밥,,,,
213,만선회센타본점,한식,경기도 시흥시 배곧5로 78,물회,,,,
214,예당매운탕,한식,경기도 시흥시 수인로 2780,어탕국수,,,,
215,개성집오산점,한식,경기도 시흥시 시흥대로 248-20,"생선구이, 명태조림",,,,
216,동경동태탕,한식,경기도 안산시 단원구 고잔로 57-9,동태탕,,,,
217,문성5호,한식,경기도 안산시 단원구 대부황금로 1209,매운탕,,,,
218,김 & 김,일식,경기도 안산시 단원구 대선로 384,왕돈가스,,,,
219,산골미꾸라지매운당,한식,경기도 안산시 단원구 소바위길 12,추어탕,,,,
220,와각칼국수,한식,경기도 안산시 단원구 아랫말길 27,바지락 비빔칼국수,,,,
221,유니스의정원 ,양식,경기도 안산시 상록구 반월천북길 139,"바비큐, 파스타 ",,,,
222,궁중삼계탕,한식,경기도 안산시 상록구 석호공원로 69,삼계탕,,,,
223,어부횟집,한식,경기도 안산시 상록구 석호로 105,"활 초밥, 매운탕",,,,
224,옛맛시골아주매순대,한식,경기도 안산시 상록구 시낭로 38,순대국,,,,
225,시골순대,한식,경기도 안산시 상록구 용신로 351,막창순대,,,,
226,대궐봉평막국수,한식,경기도 안산시 상록구 이호로 24,막국수,,,,
227,그루터기,한식,경기도 안성시 공도읍 덕봉서원로 265,어죽,,,,
228,물고기자리안성점,한식,경기도 안성시 금광면 동신곡길 58,생선구이,,,,
229,감나무골가든,한식,경기도 안성시 금광면 삼흥로 137,"옻닭, 백숙",,,,
230,당목골,한식,경기도 안성시 남파로 121,떡만두국,,,,
231,가마솥들밥,한식,경기도 안성시 보개면 진안로 1194,들밥정식,,,,
232,안성장터국밥,한식,경기도 안성시 미양면 구례골길 170-17,소고기국밥,,,,
233,골목식당,한식,경기도 안성시 장기2길 97,칼국수,,,,
234,개성토종상황버섯삼계탕,한식,경기도 안성시 죽산면 미륵당길 28,삼계탕,,,,
235,장안면옥,한식,경기도 안성시 중앙로 371번길 54,"냉면, 갈비",,,,
236,송림정,한식,경기도 안양시 만안구 박달우회로 184,흑염소,,,,
237,보원털랭이매운탕,한식,경기도 양주시 광적면 그루고개로 44,털랭이매운탕,,,,
238,밀밭칼국수,한식,경기도 양주시 덕정6길 45,칼국수,,,,
239,덕화원,중식,경기도 양주시 덕정길 4,탕수육,,,,
240,막줄래국시,한식,경기도 양주시 마전로 118번길 17,도토리해물칼국시,,,,
241,항아리갈비탕,한식,경기도 양주시 백석읍 권율로 1377번길 89-2,갈비탕,,,,
242,양주골순두부보리밥,한식,경기도 양주시 부흥로1374번길 28,두부전골,,,,
243,밀밭사랑본점,한식,경기도 양주시 부흥로1398번길 189,"해물칼국수, 바지락칼국수",,,,
244,옥이네순두부,한식,경기도 양주시 은현면 삼육사로 455,두부전골,,,,
245,섬진강,한식,경기도 양주시 장흥면 북한산로 778-6,메기매운탕,,,,
246,불곡가든,한식,경기도 양주시 평화로 1261번길 335,"백숙, 비빔밥",,,,
247,호수부대찌개,한식,경기도 양주시 화합로 1414,부대찌개,,,,
248,부뚜막,한식,경기도 양평군 양평읍 공흥로 26,가정식백반,,,,
249,용칼국수,한식,경기도 양평군 양평읍 덕평벌말길 42-69,칼국수,,,,
250,파육칼 양평본점,한식,경기도 양평군 양평읍 물안개공원길51,육개장칼국수,,,,
251,콩타령,한식,경기도 양평군 양평읍 중앙로 86,콩국수,,,,
252,콩리,한식,경기도 양평군 옥천면 신복길 99,"묵밥, 전병",,,,
253,꽃국수,한식,경기도 양평군 옥천면 신복길127번길 10,송이갈비국수,,,,
254,보광정,한식,경기도 양평군 옥천면 용천로149번길 27,닭볶음탕,,,,
255,용문산농장쌈밥마을,한식,경기도 양평군 용문면 용문산로 176,쌈밥,,,,
256,돗가비불쭈꾸미본점,한식,경기도 양평군 용문면 용문산로 207,"불쭈꾸미, 들깨칼국수",,,,
257,용두리짬뽕,중식,경기도 양평군 청운면 용두로 148,짬뽕,,,,
258,여주선,한식,경기도 여주시 강변로 134,쏘가리매운탕,,,,
259,육일한우거지장터국밥,한식,경기도 여주시 강천면 강문로 222,한우거지장터국밥,,,,
260,송백보리밥,한식,경기도 여주시 강천면 강문로 267,보리밥,,,,
261,강천매운탕,한식,경기도 여주시 강천면 강천리길 84,매운탕,,,,
262,홍원막국수,한식,경기도 여주시 대신면 천서리길 12,막국수,,,,
263,중암리손두부집,한식,경기도 여주시 북내면 당전로 345-24,두부찌개,,,,
264,산내들곱창,한식,경기도 여주시 북내면 여강로 18,돼지곱창전골,,,,
265,유가장,중식,경기도 여주시 세종로 46번길 17-1,짬뽕,,,,
266,정원뚝배기 ,한식,경기도 여주시 여흥로 69번길 26-13,"황태해장국, 내장탕 ",,,,
267,수곡가든,한식,경기도 여주시 향교2길 37,양념왕갈비,,,,
268,동네막국수,한식,경기도 여주시 현암3길 28,비빔막국수,,,,
269,능서돼지국밥,한식,경기도 여주시 흥천면 흥천로 1,돼지국밥,,,,
270,임진강언덕너머매운탕,한식,경기도 연천군 군남면 솔너머길 43-21,민물매운탕,,,,
271,대호식당,한식,경기도 연천군 신서면 연신로 1154,"부대찌개, 동태찌개",,,,
272,약수오리,한식,경기도 연천군 신서면 연신로 1616,더덕오리,,,,
273,유일순대국,한식,경기도 연천군 연천읍 연신로 494번길 12,순대국,,,,
274,불탄소가든,한식,경기도 연천군 연천읍 현문로 526-29,"메기매운탕, 참게매운탕",,,,
275,아가페식당,한식,경기도 연천군 전곡읍 전곡로 25-23,칼만두,,,,
276,미원손두부보리밥,한식,경기도 연천군 전곡읍 전곡역로72번길 32-1,두부전골,,,,
277,망향비빔국수,한식,경기도 연천군 청산면 궁평로 5,비빔국수,,,,
278,인제막국수,한식,경기도 연천군 청산면 전영로 348,막국수,,,,
279,청수식당운암,한식,경기도 오산시 경기동로 8번길 19,두루치기,,,,
280,운암명가부대찌개철판구이전문점,한식,경기도 오산시 대원로 65,부대찌개,,,,
281,개성집,한식,경기도 오산시 동부대로 568번길 21-2,명문조림,,,,
282,능이밥상,한식,경기도 오산시 오산로 123-7,능이삼계탕,,,,
283,영동집,한식,경기도 오산시 오산로212번길 25,곱창전골,,,,
284, 오리향,한식,경기도 오산시 운천로 74,오리백숙,,,,
285,선재칼국수,한식,경기도 용인시 기흥구 관곡로85번길 7-1,칼국수,,,,
286,일쩜오쭈꾸미,한식,경기도 용인시 기흥구 동백중앙로 221,쭈꾸미볶음,,,,
287,큰손식당,한식,경기도 용인시 기흥구 공세로 243,오삼불고기,,,,
288,청사초롱,한식,경기도 용인시 기흥구 지삼로17번길 7-8,오리주물럭,,,,
289,금잔디,한식,경기도 용인시 수지구 고기로 553-17,한정식,,,,
290,곤드레밥집,한식,경기도 용인시 수지구 고기로 114,곤드레밥,,,,
291,감치래비빔국수,퓨전,경기도 용인시 수지구 고기로 104,비빔국수&돈까스,,,,
292,강원도막국수,한식,경기도 용인시 수지구 동천로 26,막국수,,,,
293,동인카페,한식,경기도 용인시 처인구 금령로 12번길 42,한정식,,,,
294,선비분식,한식,경기도 용인시 처인구 금령로 85번길 14-5,만두,,,,
295,남애막국수칼국수,한식,경기도 용인시 처인구 금령로 34번길 7,"칼국수, 막국수",,,,
296,황소식당,한식,경기도 용인시 처인구 금학로 515,오삼불고기,,,,
297,공원동태섞어탕,한식,경기도 용인시 처인구 금학로349번길 7,동태섞어탕,,,,
298,둥지뜰,한식,경기도 용인시 처인구 동부로 299,만두국,,,,
299,깊은산속다람쥐,한식,경기도 용인시 처인구 모현읍 갈월로 172,도토리 묵밥,,,,
300,제일식당,한식,경기도 용인시 처인구 백암면 백암로 201번길 11,순대국,,,,
301,태봉산한터오리골,한식,경기도 용인시 처인구 양지면 주북로 440,양념 오리구이,,,,
302,원삼횟집,한식,경기도 용인시 처인구 원삼면 농촌파크로 225,회,,,,
303,미락가든,한식,경기도 용인시 처인구 이동읍 어진로 790,메기 매운탕,,,,
304,원똘배가,한식,경기도 용인시 처인구 지삼로 590,만두전골,,,,
305,봉덕칼국수,한식,경기도 의왕시 징계골길 11,칼국수,,,,
306,이순례손칼국수,한식,경기도 의정부시 둔야로45번길 48,"칼국수, 만두",,,,
307,평양초계탕·막국수,한식,경기도 의정부시 둔야로 33번길 34,막국수,,,,
308,산오리,한식,경기도 의정부시 민락로 498-24,오리회전구,,,,
309,전원식당,한식,경기도 의정부시 평화로 175-1,구이,,,,
310,신갈미,한식,경기도 이천시 경충대로 2494,추어국수,,,,
311,속초집,한식,경기도 이천시 경충대로 2849,불향쭈꾸미,,,,
312,청목,한식,경기도 이천시 경충대로 3046,쌀밥정식,,,,
313,서경한우프라자,한식,경기도 이천시 구만리로 300,이천한우,,,,
314,대자연호남식당,한식,경기도 이천시 모가면 진상미로 1585,돼지불구이,,,,
315,서경들손두부 ,한식,경기도 이천시 모가면 진상미로1178번길 17,"두부전골, 보쌈정식",,,,
316,소문난칼국수,한식,경기도 이천시 설봉로58번길 30,칼국수,,,,
317,오가생선구이전문점,한식,경기도 이천시 신둔면 경충대로 3198,생선구이,,,,
318,거궁,한식,경기도 이천시 신둔면 서이천로 945,한정식,,,,
319,이천염소탕,한식,경기도 이천시 증신로 22-21,염소탕,,,,
320,오늘손칼국수&찜,한식,경기도 이천시 호법면 이섭대천로 864,해물찜,,,,
321,시골손칼국수,한식,경기도 파주시 금정로 20,호박만두,,,,
322,원조삼거리부대찌개,한식,경기도 파주시 문산읍 문향로 103,부대찌개,,,,
323,북경반점,중식,경기도 파주시 법원읍 사임당로 908,짬뽕,,,,
324,초리골초계탕,한식,경기도 파주시 법원읍 초리골길 110,초계탕,,,,
